business_name,website,email,phone,whatsapp,country_code,city,niche,platform,instagram_handle,facebook_url,score,status,priority,enrichment_status,first_source,created_at,last_enrichment_attempt_at,notes
"42 coffee roasters",https://42coffeeroasters.com,info@42coffeeroasters.com,+971521348636,,AE,,"onlineStore, inStore",woocommerce,42coffeeroasters,https://facebook.com/42coffeeroasters,85,new,warm,completed,tabby,"2026-06-04 01:38:02",,
"Tea Gschwendner",https://www.tgtea-kw.com/,info@tgtea-kw.com,,,KW,,"onlineStore, inStore",shopify,tea_gtea,,80,promoted,warm,completed,tabby,"2026-06-04 01:38:04",,
"Liwa water",https://www.liwawater.com,info@liwawater.com,1234567890,97125501331,AE,,onlineStore,woocommerce,,,80,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"Modern Water Solutions",https://www.modern-ws.com/ar,info@modern-ws.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"Water Tanks UAE",https://watertanksuae.com,info@watertanksuae.com,+971525094830,971525094830,AE,,"onlineStore, inStore",woocommerce,used_watertanks,,85,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"Yas Water World",https://www.yaswaterworld.com/,info@yaswaterworld.com,+971600511115,971600511115,AE,,"onlineStore, inStore",,yaswaterworld,https://facebook.com/yaswaterworld,75,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"water gold perfume",https://watergoldperfumes.com/,info@watergoldperfumes.com,,,AE,,"onlineStore, inStore",woocommerce,watergoldperfume,,80,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"Clean Water Technology",https://Cleanwaterpools.net,info@Cleanwaterpools.net,+971504821271,971504821271,AE,,"onlineStore, inStore",woocommerce,cwtuae,https://facebook.com/profile.php,85,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"The Water Works",https://www.thermapod.ae,info@thermapod.ae,+971559725180,,AE,,onlineStore,woocommerce,thermapod,,85,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"Bayside water rides",https://www.instagram.com/baysidewaterrides?igsh=aGd2eXdxdjZiNGNl&utm_source=qr,info@instagram.com,,,AE,,inStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"AlNAQAA ALAMTHAL WATER FILTERS",https://www.google.com/maps/dir//AlNAQAA+ALAMTHAL+WATER+FILTERS+ajman/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ef5f7930ce20b83:0x8109c05054ebeb6d?sa=X&ved=1t:3061&ictx=111,info@google.com,,,AE,,inStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"Enagic Kangen Water Equipment",https://www.enagic.ae,info@enagic.ae,"+971 4 395 5011",,AE,,"onlineStore, inStore",woocommerce,,,80,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"AL SHFAF WATER TREATMENT",https://www.facebook.com/alshfaf.water/,info@facebook.com,,,AE,,inStore,,,https://facebook.com/alshfaf.water,70,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"Durub Water Solutions LLC",https://www.durubwatersolution.com,info@durubwatersolution.com,"+971 56 624 2543",971566242543,AE,,"onlineStore, inStore",,,,70,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"Al Qaser Water Equipments & Treading",https://maicaredubai.com/,info@maicaredubai.com,+971589254461,,AE,,"onlineStore, inStore",woocommerce,,https://facebook.com/alqaserwets,85,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"Aquaphor Middle East Water Treatment",https://aquaphor.com/,info@aquaphor.com,,,AE,,"onlineStore, inStore",,aquaphor.water,https://facebook.com/AquaphorWater,70,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"Aqua Bravo Water Desalination Equip.Trading",,,,,AE,,inStore,,,,35,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"AL LOLO WATER TREATMENT EQUIPMENT TRADING",https://luluwateruae.com,info@luluwateruae.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:08:17",,
"Jollyza Toys",https://jollyza.com/,info@jollyza.com,0501729095,971501729095,AE,,"onlineStore, inStore",shopify,jollyzatoys,https://facebook.com/jollyzatoys,85,new,warm,completed,tabby,"2026-06-20 23:09:49",,
"alab toys",https://alab.toys,info@alab.toys,,,AE,,"onlineStore, inStore",shopify,alab.toys,https://facebook.com/alab.toys,80,new,warm,completed,tabby,"2026-06-20 23:09:49",,
"Kanaan Toys",https://kanaantoys.ae/,info@kanaantoys.ae,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:09:49",,
"Lerni Toys",https://www.lernitoys.ae,info@lernitoys.ae,,,AE,,"onlineStore, inStore",shopify,lernitoys.ae,https://facebook.com/lernitoys.ae,80,new,warm,completed,tabby,"2026-06-20 23:09:49",,
"Toys And More",https://www.toysandmore.ae,info@toysandmore.ae,+971528891184,971528891184,AE,,"onlineStore, inStore",shopify,toysandmore.ae,https://facebook.com/share/1MDzrv2QYz,85,new,warm,completed,tabby,"2026-06-20 23:09:49",,
"Klug Toys",https://klugtoys.com/,info@klugtoys.com,"+1 234567890",,AE,,onlineStore,shopify,,,80,new,warm,completed,tabby,"2026-06-20 23:09:49",,
"TOYS 4 YOU",https://toys4ushop.com/,info@toys4ushop.com,+97165631119,,AE,,"onlineStore, inStore",woocommerce,toys4youshopuae,https://facebook.com/toys4yousharjah,85,new,warm,completed,tabby,"2026-06-20 23:09:49",,
"Sakura Anime toys",https://sakuraanimetoys.com,info@sakuraanimetoys.com,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:09:49",,
"Color Land Toys",https://colorlandtoys.com/,info@colorlandtoys.com,+97137825960,,AE,,onlineStore,shopify,colorlandtoys,https://facebook.com/colorlandtoys,85,new,warm,completed,tabby,"2026-06-20 23:09:49",,
"SecretRare for toys",http://Www.secretrarecc.com,info@Www.secretrarecc.com,+971502991001,971502991001,AE,,"onlineStore, inStore",shopify,secretrarecc,"https://facebook.com/Shopify\",85,new,warm,completed,tabby,"2026-06-20 23:09:49",,
"YEDDOH AMUSEMENT TOYS",,,,,AE,,inStore,,,,35,new,warm,completed,tabby,"2026-06-20 23:09:49",,
"Toys R Us MENA",https://www.toysrusmena.com/en-ae/,info@toysrusmena.com,,,AE,,inStore,woocommerce,,,75,new,warm,completed,tabby,"2026-06-20 23:09:49",,
"GEEKOO FOR TOYS AND GAMES",https://geekoo.ae,info@geekoo.ae,+971509209699,971509209699,AE,,inStore,shopify,geekoo.ae,https://facebook.com/geekoo.ae,85,new,warm,completed,tabby,"2026-06-20 23:09:49",,
"Naseem al bahar toys",http://www.tiktok.com/@naseem_albahar_toys,info@tiktok.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:09:49",,
"Loon al rabea kids gift & toys",https://0jtgp1-rr.myshopify.com/,info@0jtgp1-rr.myshopify.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:09:49",,
"Tech & Toys",https://techntoys.com/en/,info@techntoys.com,,,KW,,onlineStore,woocommerce,,,75,new,warm,completed,tabby,"2026-06-20 23:09:50",,
"ALBADER Toys",http://www.albadertoys.com,info@albadertoys.com,966504861233,966112112423,KW,,onlineStore,,albadertoys,https://facebook.com/61587847804926,75,new,warm,completed,tabby,"2026-06-20 23:09:50",,
"SHANAKEL TOYS",https://www.shanakel.com,info@shanakel.com,22409139,,KW,,onlineStore,,shanakeltoys,https://facebook.com/shanakeltoyskw,75,new,warm,completed,tabby,"2026-06-20 23:09:50",,
"Fantasy World Toys",https://fantasyworldtoys.com/,info@fantasyworldtoys.com,1800177,,KW,,"onlineStore, inStore",magento,fantasyworldtoys,https://facebook.com/FantasyWorldToysKuwait,85,new,warm,completed,tabby,"2026-06-20 23:09:50",,
"YEDDOH AMUSEMENT TOYS",,,,,AE,,inStore,,,,35,new,warm,completed,tabby,"2026-06-20 23:10:01",,
"Head Space KW",https://www.headspace.com.kw/,info@headspace.com.kw,,,KW,,"onlineStore, inStore",shopify,headspacekw,https://facebook.com/headspacekw,80,new,warm,completed,tabby,"2026-06-20 23:10:24",,
"Goodies Fruits",https://goodiesfdfruits.com,info@goodiesfdfruits.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:12:36",,
Day,https://day-store.sa/,info@day-store.sa,966538770876,,KW,,onlineStore,,Daystore_sa,,75,new,warm,completed,tabby,"2026-06-20 23:12:37",,
Rotai,https://rotai.ae/,info@rotai.ae,+971-42732866,97142732866,AE,,"onlineStore, inStore",shopify,rotaihealth,https://facebook.com/rotaihealth,85,new,warm,completed,tabby,"2026-06-20 23:14:36",,
"Break The Cycle",http://www.breakthecycle.sa,info@breakthecycle.sa,,,KW,,onlineStore,,breakthecycle.sa,,70,new,warm,completed,tabby,"2026-06-20 23:14:37",,
"Break Protection",https://breakprotection.com/,info@breakprotection.com,+919008777088,97148886500,AE,,inStore,,break_protection_,,75,new,warm,completed,tabby,"2026-06-20 23:15:56",,
Amazon,https://www.amazon.ae/deals?&linkCode=ll2&tag=tabbycrmuae-21&linkId=f941446a4e07661f1fa6baf1f8ac172c&ref_=as_li_ss_tl,info@amazon.ae,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:30",,
noon,https://s.noon.com/AcHUJPYR1lo,info@s.noon.com,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:30",,
Trendyol,https://trg.tabby.ai/6jxDffZP_a,info@trg.tabby.ai,,,AE,,onlineStore,,trendyol,https://facebook.com/TrendyolENG,70,new,warm,completed,tabby,"2026-06-20 23:16:30",,
SHEIN,https://ad.admitad.com/g/1kjlqr06u0926836afb9f0af71e07a/,info@ad.admitad.com,,,AE,,onlineStore,,sheinofficial,,70,new,warm,completed,tabby,"2026-06-20 23:16:30",,
Temu,https://temuaffiliateprogram.pxf.io/anzmxo,info@temuaffiliateprogram.pxf.io,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:30",,
Revibe,https://revibe.me/,info@revibe.me,+97144597000,,AE,,onlineStore,shopify,revibe_me,https://facebook.com/RevibeUAE,85,new,warm,completed,tabby,"2026-06-20 23:16:30",,
"Jarir Bookstore",https://www.jarir.com/ae-en/,info@jarir.com,+97165032000,,AE,,"onlineStore, inStore",woocommerce,jariruae,https://facebook.com/jarirbookstore.UAE,85,new,warm,completed,tabby,"2026-06-20 23:16:30",,
Samsung,https://www.samsung.com/ae/,info@samsung.com,+971547267864,971547267864,AE,,onlineStore,,samsunggulf,https://facebook.com/SamsungGulf,75,new,warm,completed,tabby,"2026-06-20 23:16:30",,
iSTYLE,https://istyle.ae/,info@istyle.ae,+971800478953,971800478953,AE,,"onlineStore, inStore",shopify,istyleme,https://facebook.com/istyleme,85,new,warm,completed,tabby,"2026-06-20 23:16:30",,
Almosafer,https://www.almosafer.com/en/,info@almosafer.com,+966112199500,966554400000,AE,,onlineStore,,almosafertravel_sa,https://facebook.com/Almosafertravel,75,new,warm,completed,tabby,"2026-06-20 23:16:30",,
"Air Arabia",https://www.airarabia.com/,info@airarabia.com,"+971 600 508001",971600508001,AE,,onlineStore,,airarabiagroup,https://facebook.com/airarabiagroup,75,new,warm,completed,tabby,"2026-06-20 23:16:30",,
Namshi,https://www.namshi.com/uae-en/,info@namshi.com,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:30",,
Jomla,https://jomla.ae/en/,info@jomla.ae,+971503358800,971503358800,AE,,"onlineStore, inStore",woocommerce,jomla.ae,https://facebook.com/Jomla.ae,85,new,warm,completed,tabby,"2026-06-20 23:16:30",,
"LuLu Hypermarkets",https://www.luluhypermarket.com/en-ae,info@luluhypermarket.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:31",,
